Level,Type,Holdout Repeat,Visit,ROC_AUC,Accuracy,F1,FPR,TPR,Thresholds,tp,tn,fp,fn
sample,Institute,60,Overall,0.8470588235294118,0.71875,0.7272727272727273,"[0.0, 0.0, 0.0, 0.17647058823529413, 0.17647058823529413, 0.35294117647058826, 0.35294117647058826, 0.4117647058823529, 0.4117647058823529, 0.47058823529411764, 0.47058823529411764, 1.0]","[0.0, 0.06666666666666667, 0.4666666666666667, 0.4666666666666667, 0.7333333333333333, 0.7333333333333333, 0.8666666666666667, 0.8666666666666667, 0.9333333333333333, 0.9333333333333333, 1.0, 1.0]","[inf, 0.9973106384277344, 0.896665096282959, 0.8073946237564087, 0.6980712413787842, 0.5923243165016174, 0.38966095447540283, 0.3548940122127533, 0.27757230401039124, 0.2665719985961914, 0.14432132244110107, 0.006567005068063736]",12,11,6,3
sample,Institute,61,Screen,0.9387755102040816,0.7142857142857143,0.75,"[0.0, 0.0, 0.0, 0.42857142857142855, 0.42857142857142855, 1.0]","[0.0, 0.14285714285714285, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]","[inf, 0.965263307094574, 0.6079014539718628, 0.5020105242729187, 0.2822646498680115, 0.011381731368601322]",6,4,3,1
sample,Institute,61,Day 0,0.880952380952381,0.8461538461538461,0.875,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]","[inf, 0.8035013675689697, 0.7720720171928406, 0.6789690852165222, 0.5960800647735596, 0.5120288729667664, 0.5117882490158081, 0.016446029767394066]",7,4,2,0
sample,Institute,61,Adj Wk 1,0.8125,0.875,0.8571428571428571,"[0.0, 0.0, 0.0, 0.75, 0.75, 1.0]","[0.0, 0.25, 0.75, 0.75, 1.0, 1.0]","[inf, 0.9088811874389648, 0.5859106183052063, 0.09631162881851196, 0.04752274975180626, 0.01426902785897255]",3,4,0,1
sample,Institute,61,Overall,0.9150326797385621,0.8,0.8205128205128205,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.17647058823529413, 0.17647058823529413, 0.4117647058823529, 0.4117647058823529, 0.6470588235294118, 0.6470588235294118, 1.0]","[0.0, 0.05555555555555555, 0.5555555555555556, 0.5555555555555556, 0.8333333333333334, 0.8333333333333334, 0.8888888888888888, 0.8888888888888888, 0.9444444444444444, 0.9444444444444444, 1.0, 1.0]","[inf, 0.965263307094574, 0.734802782535553, 0.6789690852165222, 0.5859106183052063, 0.5120288729667664, 0.5117882490158081, 0.309978723526001, 0.2822646498680115, 0.06523268669843674, 0.04752274975180626, 0.011381731368601322]",16,12,5,2
sample,Institute,62,Screen,0.9047619047619049,0.8,0.8571428571428571,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 1.0, 1.0]","[inf, 0.9940894842147827, 0.8443653583526611, 0.7334845662117004, 0.38904401659965515, 0.003920679911971092]",6,2,1,1
sample,Institute,62,Day 0,0.8571428571428572,0.8888888888888888,0.9333333333333333,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 1.0, 1.0]","[inf, 0.94731605052948, 0.7218673229217529, 0.7140117287635803, 0.536624014377594, 0.036642808467149734]",7,1,1,0
sample,Institute,62,Adj Wk 1,0.9,0.8571428571428571,0.8888888888888888,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9947915077209473, 0.5995078086853027, 0.12379356473684311, 0.04145372286438942, 0.01686585694551468]",4,2,0,1
sample,Institute,62,Overall,0.887218045112782,0.8461538461538461,0.8947368421052632,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.5714285714285714, 0.5714285714285714, 1.0]","[0.0, 0.05263157894736842, 0.631578947368421, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[inf, 0.9947915077209473, 0.7887820601463318, 0.7334845662117004, 0.7218673229217529, 0.7140117287635803, 0.38904401659965515, 0.0538904182612896, 0.04145372286438942, 0.003920679911971092]",17,5,2,2
sample,Institute,63,Screen,0.9761904761904763,0.9230769230769231,0.9333333333333333,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.14285714285714285, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]","[inf, 0.9987381100654602, 0.9225159287452698, 0.8015128970146179, 0.7394936680793762, 0.000520403787959367]",7,5,1,0
